Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",
,47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",
,51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",
,55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",
,59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",
,62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",
,68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",
,70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",
,72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",
,74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",
,76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",
,77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",
,78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",
,79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",
,,,,,,,,,,,,,
1938,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1938.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",
,11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",
,12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",
,13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",
,19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",
,21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",
,23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",
,25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",
,28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",
,31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",
,35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",
,39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",
,43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",
,47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",
,51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",
,55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",
,59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",
,62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",
,68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",
,70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",
,72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",
,74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",
,76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",
,77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",
,78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",
,79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",
,,,,,,,,,,,,,
1937,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1936.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",
,11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",
,12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",
,13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",
,19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",
,21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",
,23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",
,25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",
,28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",
,31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",
,35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",
,39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",
,43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",
,47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",
,51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",
,55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",
,59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",
,62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",
,68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",
,70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",
,72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",
,74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",
,76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",
,77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",
,78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",
,79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",
,,,,,,,,,,,,,
1936,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1936.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",
,11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",
,12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",
,13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",
,19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",
,21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",
,23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",
,25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",
,28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",
,31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",
,35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",
,39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",
,43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",43.0%,>,"$62,000",
,47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",47.0%,>,"$68,000",
,51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",51.0%,>,"$74,000",
,55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",55.0%,>,"$80,000",
,59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",59.0%,>,"$90,000",
,62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",
,68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",
,70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",
,72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",
,74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",
,76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",
,77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",
,78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",
,79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",
,,,,,,,,,,,,,
1935,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1934.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",
,11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",
,12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",
,13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",
,19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",
,21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",
,23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",
,25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",
,28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",
,31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",
,34.0%,>,"$50,000",34.0%,>,"$50,000",34.0%,>,"$50,000",34.0%,>,"$50,000",
,37.0%,>,"$56,000",37.0%,>,"$56,000",37.0%,>,"$56,000",37.0%,>,"$56,000",
,40.0%,>,"$62,000",40.0%,>,"$62,000",40.0%,>,"$62,000",40.0%,>,"$62,000",
,43.0%,>,"$68,000",43.0%,>,"$68,000",43.0%,>,"$68,000",43.0%,>,"$68,000",
,46.0%,>,"$74,000",46.0%,>,"$74,000",46.0%,>,"$74,000",46.0%,>,"$74,000",
,49.0%,>,"$80,000",49.0%,>,"$80,000",49.0%,>,"$80,000",49.0%,>,"$80,000",
,54.0%,>,"$90,000",54.0%,>,"$90,000",54.0%,>,"$90,000",54.0%,>,"$90,000",
,56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",
,57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",
,58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",
,59.0%,>,"$300,000",59.0%,>,"$300,000",59.0%,>,"$300,000",59.0%,>,"$300,000",
,60.0%,>,"$400,000",60.0%,>,"$400,000",60.0%,>,"$400,000",60.0%,>,"$400,000",
,61.0%,>,"$500,000",61.0%,>,"$500,000",61.0%,>,"$500,000",61.0%,>,"$500,000",
,62.0%,>,"$750,000",62.0%,>,"$750,000",62.0%,>,"$750,000",62.0%,>,"$750,000",
,63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",
,,,,,,,,,,,,,
1934,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1934.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",
,11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",
,12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",
,13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",
,19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",
,21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",
,23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",
,25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",
,28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",
,31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",
,34.0%,>,"$50,000",34.0%,>,"$50,000",34.0%,>,"$50,000",34.0%,>,"$50,000",
,37.0%,>,"$56,000",37.0%,>,"$56,000",37.0%,>,"$56,000",37.0%,>,"$56,000",
,40.0%,>,"$62,000",40.0%,>,"$62,000",40.0%,>,"$62,000",40.0%,>,"$62,000",
,43.0%,>,"$68,000",43.0%,>,"$68,000",43.0%,>,"$68,000",43.0%,>,"$68,000",
,46.0%,>,"$74,000",46.0%,>,"$74,000",46.0%,>,"$74,000",46.0%,>,"$74,000",
,49.0%,>,"$80,000",49.0%,>,"$80,000",49.0%,>,"$80,000",49.0%,>,"$80,000",
,54.0%,>,"$90,000",54.0%,>,"$90,000",54.0%,>,"$90,000",54.0%,>,"$90,000",
,56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",
,57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",
,58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",
,59.0%,>,"$300,000",59.0%,>,"$300,000",59.0%,>,"$300,000",59.0%,>,"$300,000",
,60.0%,>,"$400,000",60.0%,>,"$400,000",60.0%,>,"$400,000",60.0%,>,"$400,000",
,61.0%,>,"$500,000",61.0%,>,"$500,000",61.0%,>,"$500,000",61.0%,>,"$500,000",
,62.0%,>,"$750,000",62.0%,>,"$750,000",62.0%,>,"$750,000",62.0%,>,"$750,000",
,63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",
,,,,,,,,,,,,,
1933,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax rates plus applicable surtaxes. Last law to change rates was the Revenue Act of 1932.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",
,11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",
,12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",
,13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",
,14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",
,16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",
,17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",
,18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",
,19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",
,20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",
,21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",
,23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",
,24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",
,25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",
,26.0%,>,"$40,000",26.0%,>,"$40,000",26.0%,>,"$40,000",26.0%,>,"$40,000",
,27.0%,>,"$42,000",27.0%,>,"$42,000",27.0%,>,"$42,000",27.0%,>,"$42,000",
,28.0%,>,"$44,000",28.0%,>,"$44,000",28.0%,>,"$44,000",28.0%,>,"$44,000",
,29.0%,>,"$46,000",29.0%,>,"$46,000",29.0%,>,"$46,000",29.0%,>,"$46,000",
,30.0%,>,"$48,000",30.0%,>,"$48,000",30.0%,>,"$48,000",30.0%,>,"$48,000",
,31.0%,>,"$50,000",31.0%,>,"$50,000",31.0%,>,"$50,000",31.0%,>,"$50,000",
,32.0%,>,"$52,000",32.0%,>,"$52,000",32.0%,>,"$52,000",32.0%,>,"$52,000",
,33.0%,>,"$54,000",33.0%,>,"$54,000",33.0%,>,"$54,000",33.0%,>,"$54,000",
,34.0%,>,"$56,000",34.0%,>,"$56,000",34.0%,>,"$56,000",34.0%,>,"$56,000",
,35.0%,>,"$58,000",35.0%,>,"$58,000",35.0%,>,"$58,000",35.0%,>,"$58,000",
,36.0%,>,"$60,000",36.0%,>,"$60,000",36.0%,>,"$60,000",36.0%,>,"$60,000",
,37.0%,>,"$62,000",37.0%,>,"$62,000",37.0%,>,"$62,000",37.0%,>,"$62,000",
,38.0%,>,"$64,000",38.0%,>,"$64,000",38.0%,>,"$64,000",38.0%,>,"$64,000",
,39.0%,>,"$66,000",39.0%,>,"$66,000",39.0%,>,"$66,000",39.0%,>,"$66,000",
,40.0%,>,"$68,000",40.0%,>,"$68,000",40.0%,>,"$68,000",40.0%,>,"$68,000",
,41.0%,>,"$70,000",41.0%,>,"$70,000",41.0%,>,"$70,000",41.0%,>,"$70,000",
,42.0%,>,"$72,000",42.0%,>,"$72,000",42.0%,>,"$72,000",42.0%,>,"$72,000",
,43.0%,>,"$74,000",43.0%,>,"$74,000",43.0%,>,"$74,000",43.0%,>,"$74,000",
,44.0%,>,"$76,000",44.0%,>,"$76,000",44.0%,>,"$76,000",44.0%,>,"$76,000",
,45.0%,>,"$78,000",45.0%,>,"$78,000",45.0%,>,"$78,000",45.0%,>,"$78,000",
,46.0%,>,"$80,000",46.0%,>,"$80,000",46.0%,>,"$80,000",46.0%,>,"$80,000",
,47.0%,>,"$82,000",47.0%,>,"$82,000",47.0%,>,"$82,000",47.0%,>,"$82,000",
,48.0%,>,"$84,000",48.0%,>,"$84,000",48.0%,>,"$84,000",48.0%,>,"$84,000",
,49.0%,>,"$86,000",49.0%,>,"$86,000",49.0%,>,"$86,000",49.0%,>,"$86,000",
,50.0%,>,"$88,000",50.0%,>,"$88,000",50.0%,>,"$88,000",50.0%,>,"$88,000",
,51.0%,>,"$90,000",51.0%,>,"$90,000",51.0%,>,"$90,000",51.0%,>,"$90,000",
,52.0%,>,"$92,000",52.0%,>,"$92,000",52.0%,>,"$92,000",52.0%,>,"$92,000",
,53.0%,>,"$94,000",53.0%,>,"$94,000",53.0%,>,"$94,000",53.0%,>,"$94,000",
,54.0%,>,"$96,000",54.0%,>,"$96,000",54.0%,>,"$96,000",54.0%,>,"$96,000",
,55.0%,>,"$98,000",55.0%,>,"$98,000",55.0%,>,"$98,000",55.0%,>,"$98,000",
,56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",56.0%,>,"$100,000",
,57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",57.0%,>,"$150,000",
,58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",58.0%,>,"$200,000",
,59.0%,>,"$300,000",59.0%,>,"$300,000",59.0%,>,"$300,000",59.0%,>,"$300,000",
,60.0%,>,"$400,000",60.0%,>,"$400,000",60.0%,>,"$400,000",60.0%,>,"$400,000",
,61.0%,>,"$500,000",61.0%,>,"$500,000",61.0%,>,"$500,000",61.0%,>,"$500,000",
,62.0%,>,"$750,000",62.0%,>,"$750,000",62.0%,>,"$750,000",62.0%,>,"$750,000",
,63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",63.0%,>,"$1,000,000",
,,,,,,,,,,,,,
1932,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,"Tax rates include normal tax of 4 percent up to $4,000 of taxable and income and 8 percent over $4,000, plus applicable surtaxes. Last law to change rates was the Revenue Act of 1932."
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",10.0%,>,"$10,000",
,11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",11.0%,>,"$12,000",
,12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",12.0%,>,"$14,000",
,13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",13.0%,>,"$16,000",
,14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",14.0%,>,"$18,000",
,16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",16.0%,>,"$20,000",
,17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",17.0%,>,"$22,000",
,18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",18.0%,>,"$24,000",
,19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",19.0%,>,"$26,000",
,20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",20.0%,>,"$28,000",
,21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",21.0%,>,"$30,000",
,23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",23.0%,>,"$32,000",
,24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",24.0%,>,"$36,000",
,25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",25.0%,>,"$38,000",
